logFC	AveExpr	t	P.Value	adj.P.Val	B
CELSR3|1951	1.11847335578037	2.42191469102742	3.3683177604541	0.000877270722131494	1	-0.741889291975776
TXNDC11|51061	-0.591485847135715	6.03948002530959	-3.36737575716894	0.000880139786510883	1	-0.808741701862781
CIB2|10518	1.13955020417862	3.24748740654173	3.36287353242882	0.000893973505887649	1	-0.777836779841785
PSME2|5721	-0.947034843681944	6.80560938922468	-3.35939136016741	0.000904811744100092	1	-0.842307662276751
ANKRD34B|340120	2.63790760773814	-1.98697586468396	3.35211912635668	0.000927842801684963	1	-0.99921609885524
PCDHGB3|56102	1.88993298357657	-2.15974560047617	3.34801870438067	0.000941068540225361	1	-1.08378498158697
RNF44|22838	0.588197275012218	6.06650150469124	3.34636068632073	0.000946466128121371	1	-0.889602658143875
RC3H2|54542	0.787353909197529	3.4850419088707	3.34261726351873	0.000958758921555237	1	-0.834634410973195
B3GALT1|8708	2.08312842537786	-2.77988547349744	3.33975208438586	0.000968268043533691	1	-1.13160413812533
PSENEN|55851	-1.08378374483641	6.46932347264656	-3.33764853604319	0.000975305281825962	1	-0.899126930206607
SKIL|6498	0.963527893216196	4.13797782658193	3.33662796130934	0.000978736666465239	1	-0.887479337880078
RRN3P2|653390	0.691487885240398	2.5000597800958	3.33491260648485	0.000984529395516799	1	-0.841725076659293
C2CD2L|9854	-0.774554212856642	4.74807333960683	-3.3330442071509	0.000990875283809091	1	-0.856408878337813
IGDCC4|57722	1.25714753829059	1.04196319756738	3.32633879013592	0.0010139648490223	1	-0.908883156104626
ATXN1L|342371	0.633015172933966	5.21103214583434	3.32381961993859	0.0010227681533994	1	-0.948244859790054
DIP2B|57609	0.581599484268404	5.3662964351468	3.32268701183967	0.00102674922753258	1	-0.953990134880934
TMEM205|374882	-0.788498823611476	7.12592412155949	-3.31821158901232	0.00104262173942481	1	-0.974084794424519
KATNAL1|84056	0.761700183272375	2.58209529658197	3.31771593845935	0.0010443935920433	1	-0.889342881970481
RECQL|5965	0.724420069187129	3.98887970387514	3.31159932480414	0.00106649125366565	1	-0.946162361676926
SLC38A9|153129	0.697201365818469	2.90405474749415	3.31120930543391	0.00106791494234997	1	-0.909149879066178
MAT1A|4143	-2.8388638226054	1.09297142042461	-3.30927212139524	0.00107501249790513	1	-1.22835534793489
CLEC4E|26253	-2.34760416275977	-0.355948064373818	-3.30116994078531	0.00110517608556975	1	-1.31305888826458
ARC|23237	1.86067724234182	-0.357341183080397	3.29952001320156	0.00111141430580702	1	-1.05214683305713
SPRED3|399473	1.70844459266376	-2.73420675719323	3.29733371255105	0.00111973096858051	1	-1.24809982897841
ZFP62|643836	0.591505562862502	4.85544653133207	3.29458856956951	0.00113025543736143	1	-1.02674401670156
PCDHB6|56130	1.23587750767514	1.76266116397221	3.29283952923205	0.00113700890380249	1	-0.966701940533797
PAK3|5063	1.91979849681843	-3.37741924505764	3.2892944349492	0.00115081264157664	1	-1.2880691152127
PCDHGA4|56111	1.8538703286145	-1.03217600293598	3.28640086894206	0.00116219482097088	1	-1.15084425355324
CSMD1|64478	-2.29834693436139	-1.420551946279	-3.2844969424097	0.00116974113848642	1	-1.39741829350248
CBX6|23466	1.12928660333399	3.52833846163192	3.28344652870793	0.00117392398577521	1	-1.02587660851116
PRDX5|25824	-0.728639979670023	8.25502448002528	-3.28021975184948	0.00118686044620287	1	-1.08752827456959
LATS1|9113	0.873469073569103	3.02887834290471	3.2796530731988	0.00118914594960779	1	-1.00650602990707
WDR77|79084	-0.804065854630737	6.48790863249758	-3.27376762986819	0.00121312594779189	1	-1.09883689567712
MLLT11|10962	1.31255662142796	2.5563130489689	3.27174548334698	0.00122146829696002	1	-1.02728580237651
C3|718	-2.32064998878233	9.12860888210506	-3.27097796340505	0.00122464862739727	1	-1.11748186374334
HMCN1|83872	1.41895072264056	3.44085029494564	3.25850551562999	0.00127742044051433	1	-1.10917773675047
MYST4|23522	0.713055363034084	5.30645875318932	3.25748735817462	0.00128182027716541	1	-1.15136208252855
TTPAL|79183	0.565837485845967	4.61401456014938	3.25719677573641	0.00128307857093027	1	-1.12927481156757
NID1|4811	1.30323280893194	5.59664182868777	3.24702567985806	0.00132785149105476	1	-1.18908736150009
SCUBE2|57758	1.57764792510134	3.28638821588134	3.24101465611145	0.00135498932169296	1	-1.16096614343368
PRICKLE1|144165	1.12232744812381	2.8072689540559	3.23867446550161	0.00136569304298138	1	-1.12644034205762
MAP4K4|9448	0.560375668473298	7.04561302362638	3.23741183062003	0.00137150070359562	1	-1.21551168227461
BLNK|29760	-1.59372638455837	3.42301741806971	-3.2325839486514	0.00139391919381488	1	-1.18138671505199
FGFBP3|143282	1.05371015890654	0.804012491026751	3.22686476458857	0.00142091624844786	1	-1.20856630506328
FBXO21|23014	0.654604057040276	5.95266906020774	3.22415594282512	0.00143387160533646	1	-1.25657109617953
IFI30|10437	-1.28502596161775	7.45171442043842	-3.21934939847829	0.00145712964437012	1	-1.26762403917671
EXOC6B|23233	0.962543497664378	1.71595565722144	3.21265908596991	0.00149008556353685	1	-1.19974025184245
MCM9|254394	0.804348407360775	1.18917310403668	3.20493459312144	0.00152899457037175	1	-1.25637604418075
GPATCH8|23131	0.497182944586872	5.45569366765876	3.20318359716799	0.00153794442007005	1	-1.3108991947773
AMMECR1L|83607	0.42326759632472	5.05373714235911	3.20300366284175	0.00153886686192089	1	-1.29954428292039
SLC35E2|9906	0.804290551040163	3.38541607964694	3.20281041480433	0.00153985812807591	1	-1.24078535156184
FRMD5|84978	2.24025968902479	-1.08972414928411	3.20040385535253	0.00155225223991488	1	-1.34471639738571
PTPDC1|138639	0.641003211129798	2.43641888114764	3.19896118256336	0.00155972644719203	1	-1.22598461360703
RNASET2|8635	-1.18081666542473	7.68139279841264	-3.19621909077903	0.00157402468078614	1	-1.33890176365242
FTH1|2495	-0.796151998655898	10.9147641561632	-3.19476749796132	0.00158164285505399	1	-1.31530468571149
TMEM194B|100131211	0.676557589740231	2.3295409926516	3.18960369418136	0.00160902096162065	1	-1.25245792994447
DNAJC9|23234	0.644276365555811	5.5812385796263	3.18947490093653	0.00160970939003859	1	-1.35485698424508
HLA-DRB1|3123	-1.6445202545748	7.89568580810133	-3.18544635694793	0.00163138104575008	1	-1.36814478461234
PRDX1|5052	-0.643189592412069	8.62155473410614	-3.18528865524452	0.00163223487541745	1	-1.36464125585174
RAB8A|4218	-0.41757065486054	6.70950185932987	-3.18279798927639	0.00164577484283705	1	-1.37634762032069
ZNF354C|30832	1.73773810666691	-0.892463238642115	3.18162325703799	0.00165219704222613	1	-1.40746711636063
SACS|26278	0.896118197754727	3.64578502994902	3.17992008673846	0.00166154939394817	1	-1.32366630058296
FNDC3A|22862	0.935394300496129	6.04347953775705	3.17640205383213	0.00168102276328718	1	-1.39740414920461
NCOA1|8648	0.498894625290531	5.50344589779702	3.17612758970226	0.00168255085287216	1	-1.39099351065043
JAM3|83700	0.880105700082925	3.46932581786324	3.17387154021201	0.00169516029588407	1	-1.33130377196299
EDAR|10913	2.0275498431588	0.744691645566756	3.17008828573855	0.00171650199896144	1	-1.31173057223157
TRPM2|7226	-1.31175459950193	4.7612736932336	-3.16744108647225	0.00173158264736227	1	-1.31773795002763
KIRREL|55243	1.43909402040601	2.46954645061946	3.16403799454785	0.0017511495732294	1	-1.33628134724263
SEPT10|151011	0.793021958888692	4.52963179293421	3.16351250129787	0.00175418919373008	1	-1.40709156030512
